voltageLevelId;xPosition;yPosition;xLabelPosition;yLabelPosition
AUSTEP6;654962;-2417410;646540;-2411068
AUTERP3;252691;-1830266;248095;-1825740
AUTUNP3;719179;-2205896;722923;-2205152
AUVERP4;383052;-2345708;387571;-2346139
AUVILP4;560351;-2317961;564543;-2318747
AUXERP3;733542;-2328416;733625;-2329436
AUXONP3;736572;-2224121;734130;-2221537
AUZANP3;576372;-2119082;573689;-2120758
AUZATP3;447386;-1713043;453265;-1710879
AUZATP6;456608;-1725056;457891;-1727521
AUZERP4;582464;-2053830;586641;-2053323
AVALLP3;665434;-2272484;668307;-2272349
AVALLP6;671203;-2265961;680768;-2263204
AVEILP3;522326;-1672034;522417;-1674388
AVELIP4;687089;-2625593;687089;-2625593
AVELIP6;694869;-2627355;698628;-2617267
AVELIP7;711378;-2628810;722882;-2627981
AVELOP3;615233;-2537007;615233;-2537007
AVENIP6;675300;-2482735;672845;-2483683
AVEZEP3;669253;-1878943;668634;-1875286
AVIG5P3;510639;-1808379;510750;-1803624
AVIG6P1;786195;-1845423;786195;-1845423
AVIG6P6;786195;-1845423;785374;-1837391
AVIG7P3;515117;-1813506;517061;-1814932
AVIGNP3;759192;-1823605;757137;-1820913
AVIGNP6;764164;-1822271;770424;-1819889
AVIO5P4;651698;-2594462;651621;-2591343
AVOI5P6;437800;-2292429;445933;-2291832
AVOI5P7;442435;-2278451;433820;-2279761
AVOINP4;427350;-2298195;420747;-2292735
AVOINP6;437262;-2304510;441355;-2306935
AVORIP3;952730;-2103588;950726;-2104584
AVRANP4;319077;-2474678;317779;-2469761
AVREUP3;763876;-2339497;763958;-2340540
AVRIEP3;974470;-1963400;974470;-1963400
AVRILP4;352940;-2317212;356125;-2318976
AVRIMP3;857067;-2397917;858358;-2399341
AVRONP6;701045;-2442713;706698;-2442000
AYDESP4;544315;-2307422;547172;-2303928
AYRESP1;588331;-1885358;588331;-1885358
AYRESP6;606971;-1893798;606971;-1893798
AYRESP7;569692;-1876918;569692;-1876918
AYTREP4;284698;-2149657;277433;-2147511
AYVELP6;828012;-2531869;835216;-2529369
AZINCP4;725915;-2558786;731176;-2558435
B.AI5P4;367773;-2276059;361338;-2277962
B.AI7P3;766828;-2059230;766828;-2059230
B.AIRP3;536844;-1939072;532897;-1940929
B.ARCP3;628319;-2171033;628470;-2172778
B.AUSP3;989744;-1948507;989744;-1948507
B.BAIP3;860035;-2304982;865985;-2302158
B.BASP3;700909;-1994190;703543;-1993140
B.CARP1;960956;-1845235;947467;-1843271
B.CARP6;967881;-1833074;977335;-1836770
B.CARP7;954298;-1833166;948038;-1834256
B.CEZP3;788569;-1892565;790607;-1889084
B.CHAP6;666349;-2471534;670468;-2471766
B.CO5P1;565391;-2603060;565391;-2603060
B.CO5P6;565891;-2603060;562213;-2605074
B.CO6P6;573436;-2614289;578402;-2616171
B.CORP1;840677;-2036863;840677;-2036863
B.CORP3;840677;-2036863;846220;-2035177
B.CURH1;661885;-2279669;661885;-2279669
B.CURP3;661885;-2279669;665218;-2280227
B.DA5P3;879533;-2371800;879533;-2371800
B.DAMP3;896461;-2227910;900857;-2226571
B.DUCP3;812396;-2409986;814759;-2410793
B.DURP4;378924;-2099974;375831;-2101618
B.EPIP4;265983;-2395150;263710;-2397047
B.EPIP6;270252;-2395592;276286;-2399057
B.ETOP1;767304;-2045367;774007;-2042754
B.ETOP3;761017;-2045367;766258;-2039522
B.GESP3;425339;-1824215;425596;-1825665
B.GUEP6;223245;-2338912;223245;-2338912
B.GUIP4;532777;-2531119;536255;-2529930
B.HAMP3;863921;-2463678;862743;-2461007
B.HAMP6;858730;-2461170;852410;-2456184
B.INDP3;245413;-2285042;238187;-2283879
B.LAMP3;327512;-1852033;323325;-1852143
B.LANP3;736723;-2140669;737150;-2136296
B.LOMP3;454668;-1873009;454128;-1867981
B.MAIP6;874090;-1756012;864764;-1752827
B.MANP6;483232;-2434817;483232;-2434817
B.MAUP3;949022;-2030963;947948;-2031866
B.MESP6;644384;-2550666;644384;-2550666
B.MONP1;780270;-1983175;785363;-1979460
B.MONP3;773633;-1980225;775673;-1982147
B.MONP6;766225;-1976955;758286;-1979696
B.MONP7;779318;-1977825;791955;-1979163
B.PAIP4;539308;-2342967;539308;-2342967
B.PLUP1;573972;-2616056;573972;-2616056
B.PLUP4;574472;-2616056;574472;-2616056
B.PRIP4;544814;-2337083;544814;-2337083
B.RE6P3;872663;-2280184;869090;-2278755
B.RENP4;556284;-2353330;554399;-2349900
B.ROCP3;804643;-2275318;801654;-2276873
B.RONP3;859226;-2034319;859928;-2035151
B.SE5P7;887935;-2133178;887935;-2133178
B.SEPP3;28996;-2470240;28996;-2470240
B.SSBP6;242959;-2439952;242959;-2439952
B.THIP3;711189;-2096798;707702;-2097808
B.THOP4;265983;-2395150;265983;-2395150
B.TOLP3;883482;-2116524;886837;-2119137
B.TOLP7;888435;-2133178;895444;-2135144
B.VALP1;727553;-1969243;727553;-1969243
B.VALP6;737749;-1964427;746296;-1966542
B.VERP3;488331;-1817095;485016;-1814626
B20  P3;638134;-2088142;638422;-2083199
BABLOP4;784096;-2364793;784096;-2364793
BACALP3;293240;-2017477;287563;-2019154
BACALP6;277326;-2022561;264899;-2023428
BACCHP4;331492;-2575328;338631;-2574729
BAGATP3;525746;-1809563;530758;-1805745
BAGE P3;590741;-1897890;590762;-1899318
BAGNEP3;607754;-2376996;607693;-2378154
